"Enabled", "Habilitar"
"Title", "Nome do Pagamento"
"Description", "Descrição"
"Instructions", "Instruções"
"Max installments", "Número máximo de parcelas"
"Max installments free", "Número máximo de parcelas sem juros"
"Enable Sandbox", "Habilitar Sandbox"
"API Key - Production", "Chave de API de produção"
"API Key - Sandbox", "Chave de API de sandbox"
"Place Order", "Enviar Pedido"
"Credit Card Number", "Credit Card Number"
"Expiration Date", "Expiration Date"
"Card Verification Number", "Card Verification Number"
"Document Id", "CPF"
